term,unigram pos,123 ngram pos,uni vs 123 ngram
-],review,review,Same
nobi[s,review,review,Same
iun]ge,review,review,Same
neque,review,review,Same
servabo,verb,verb,Same
ius,noun,noun,Same
luminum,review,review,Same
salvum,adjective,adjective,Same
pleia,review,review,Same
apeleis,review,review,Same
((signa,review,review,Same
duo)),adjective,adjective,Same
familia,noun,noun,Same
gladiator,noun,noun,Same
ia,review,review,Same
pomponi,review,review,Same
fausti,review,review,Same
ni,conjunction,adverb,NOT same
((:venatio,review,review,Same
equi,review,review,Same
venatores,review,review,Same
pisces,noun,noun,Same
et,conjunction,conjunction,Same
aliae,adjective,adjective,Same
figurae)),noun,noun,Same
[---]as[---],review,review,Same
conclave,review,review,Same
puteolis,review,review,Same
consistunt,review,review,Same
herculanenses,review,review,Same
naviculae,review,review,Same
ianuariaes,review,review,Same
((:navis,review,review,Same
cum,conjunction,conjunction,Same
malo,verb,verb,Same
velis,noun,noun,Same
et,conjunction,conjunction,Same
remis)),noun,noun,Same
aviani,review,review,Same
votum,noun,noun,Same
moram,noun,noun,Same
quaeres,review,review,Same
sparge,review,review,Same
milium,noun,numeral,NOT same
collige,review,review,Same
((:caput,review,review,Same
gladiatoris,review,review,Same
ad,preposition,preposition,Same
sin,conjunction,conjunction,Same
versum,noun,noun,Same
et,conjunction,conjunction,Same
galea,review,review,Same
armatum)),participle,participle,Same
pane,noun,noun,Same
factum,participle,participle,Same
〚iii〛,review,review,Same
((:gladiator,review,review,Same
galea,review,review,Same
cristata,review,review,Same
gladio,noun,noun,Same
scuto,review,review,Same
longoque,review,review,Same
armatus,noun,noun,Same
et,conjunction,conjunction,Same
subligaculo,review,review,Same
et,conjunction,conjunction,Same
fasciis,noun,noun,Same
indutus)),review,review,Same
[---]lius,review,review,Same
genius,noun,noun,Same
fatuus,review,review,Same
κληβιχν,review,review,Same
fausta,review,review,Same
februarias,adjective,adjective,Same
((:figura,review,review,Same
hominis,noun,noun,Same
currens,review,review,Same
ad,preposition,preposition,Same
sin)),conjunction,conjunction,Same
φιλοῦσα,review,review,Same
μὴ,conjunction,review,NOT same
φιλοῦσαν,participle,participle,Same
ἐκράφη,review,review,Same
δακτυλεις,review,review,Same
τί,pronoun,pronoun,Same
πόλεμον,noun,noun,Same
εἴπεις;,review,review,Same
σοῦ,pronoun,pronoun,Same
διώλεσεν;,verb,verb,Same
εἰ,conjunction,conjunction,Same
γνώμονος,review,review,Same
ε+,verb,verb,Same
ν+α,preposition,preposition,Same
π,preposition,preposition,Same
or,review,review,Same
γ,review,review,Same
σ,review,review,Same
φαι,review,review,Same
ιι,review,review,Same
φιλω,review,review,Same
++++++++++αρα,review,review,Same
((:vela)),review,review,Same
antiochus,review,review,Same
mansit,verb,verb,Same
cythera,review,review,Same
icare,noun,noun,Same
μνξοπρϲτυφχψω,review,review,Same
[nil,punctuation,punctuation,Same
sibi],pronoun,pronoun,Same
habere,verb,verb,Same
aiunt,verb,verb,Same
eum[am,pronoun,pronoun,Same
totum]que,adjective,adjective,Same
locare,review,review,Same
tum,adverb,adverb,Same
[plus,punctuation,punctuation,Same
a]deo,preposition,exclamation,NOT same
condere,review,review,Same
uti,conjunction,conjunction,Same
liceat,verb,verb,Same
thymele,review,review,Same
male,adverb,adverb,Same
cala,review,review,Same
τρηθηει,review,review,Same
δειχει,review,review,Same
ceio,review,review,Same
multis,adjective,adjective,Same
pupa,review,review,Same
venusta,review,review,Same
salve,review,review,Same
ilia,review,review,Same
ευyroiviλc,review,review,Same
ἀρτεμιδώρου,review,review,Same
σμυρναίου,review,review,Same
ἰσόψηφα,review,review,Same
κύριος,noun,noun,Same
πίστις,noun,noun,Same
fratre,review,review,Same
futuimus,review,review,Same
bis,adverb,adverb,Same
binas,adjective,adjective,Same
dv+m,review,review,Same
αλι[---],review,review,Same
δει[---],review,review,Same
μη[--],review,review,Same
πολaζη,review,review,Same
//ετειμηκττονπδρι////ξο///,review,review,Same
atτiκαις,review,review,Same
πεντακoς[---],review,review,Same
((:tridens?)),review,review,Same
+hb,review,review,Same
di+d,noun,noun,Same
methe,review,review,Same
cominiaes,review,review,Same
atellana,review,review,Same
chrestum,review,review,Same
corde,noun,noun,Same
utreis,review,review,Same
utrisque,adjective,adjective,Same
pompeiana,review,review,Same
propitia,review,review,Same
concordes,review,review,Same
((sextans)),review,review,Same
((quadrans)),review,review,Same
((uncia)),review,review,Same
epaphra,review,review,Same
acutus,adjective,adjective,Same
auctus,review,review,Same
locum,noun,noun,Same
duxerunt,review,review,Same
mulierum,noun,noun,Same
tychen,review,review,Same
pretium,noun,noun,Same
singulos,adjective,adjective,Same
marco,review,review,Same
messalla,review,review,Same
lucio,review,review,Same
lentulo,noun,noun,Same
consulibus,noun,noun,Same
scripsi,review,review,Same
((:fascis)),review,review,Same
χαῖρε,verb,verb,Same
hermulus,review,review,Same
numina,noun,noun,Same
di,noun,noun,Same
&#60;:stria,review,review,Same
9&#62;,review,review,Same
&#60;:striae,review,review,Same
15-16&#62;,review,review,Same
&#60;:stria,review,review,Same
16-17&#62;,review,review,Same
v+ais,numeral,numeral,Same
c++mrv,conjunction,conjunction,Same
αβρδαρα[+5+]ωαρ,review,review,Same
[+1+]αρμ,review,review,Same
μiiροαβ,review,review,Same
οο[+2+]μ,review,review,Same
[+1+]ρι[+2+],review,review,Same
γυ+ωπι,review,review,Same
+οτεγαραιγυt[+2+]eπεμπ,review,review,Same
+ανγϲ,review,review,Same
statius,review,review,Same
postumius,review,review,Same
carminibus,noun,noun,Same
circe,review,review,Same
socios,noun,noun,Same
mutavit,verb,verb,Same
ulixi,review,review,Same
cauda,noun,noun,Same
&#60;:stria,review,review,Same
5-6&#62;,review,review,Same
&#60;:striae,review,review,Same
6-7&#62;,review,review,Same
poppai,review,review,Same
reus,noun,noun,Same
iarinus,review,review,Same
annius,noun,noun,Same
[+2+]it,review,review,Same
vobis,pronoun,pronoun,Same
picta,participle,participle,Same
croco,noun,noun,Same
&#60;:columna,review,review,Same
i=stria,verb,verb,Same
17&#62;,review,review,Same
mopsus,review,review,Same
&#60;:columna,review,review,Same
ii=stria,pronoun,pronoun,Same
20&#62;,review,review,Same
((:tria,review,review,Same
animalia,noun,noun,Same
cervi?)),review,review,Same
sabidia,review,review,Same
abonius,review,review,Same
n,review,review,Same
ἐλεγχία,review,review,Same
μῆλον,noun,noun,Same
ἡδονή,noun,noun,Same
λόγος,noun,noun,Same
ὄνομα,noun,noun,Same
νήσας,review,review,Same
copo,noun,noun,Same
nonis,review,review,Same
viii[,numeral,numeral,Same
idus,review,review,Same
iul]ias,review,review,Same
nata,participle,participle,Same
prid[ie,review,review,Same
nonas],noun,noun,Same
non[is,adverb,adverb,Same
h]erculaneo,review,review,Same
nolae,review,review,Same
pomp[---]ans,review,review,Same
ionaei,review,review,Same
[---]ης,review,review,Same
τῆς,review,pronoun,NOT same
καλῆς,adjective,adjective,Same
κυρίας,review,review,Same
καλῶν,adjective,adjective,Same
χρωτῶ&#60;sup&#62;ν&#60;/sup&#62;,review,review,Same
++++++++++,review,review,Same
εων,review,review,Same
κε++,review,review,Same
[---]+++++ς,review,review,Same
κ+tωνκα++,review,review,Same
[---]++++++,review,review,Same
+++++++++++++++++,review,review,Same
κοτωντο+,review,review,Same
〚&#60;:textus,review,review,Same
non,adverb,adverb,Same
legitur&#62;〛,verb,verb,Same
[---]οτο,review,review,Same
++++++++++++++,review,review,Same
εν,review,review,Same
μεσω++,review,review,Same
[---]++[------],review,review,Same
++++oδε,review,review,Same
μία,adjective,adjective,Same
ὥρα,noun,noun,Same
ἐστί,verb,verb,Same
[---]ο++[--],review,review,Same
+αναν++++,review,review,Same
χις,review,review,Same
οπολλ+[---],review,review,Same
((:duo,review,review,Same
stellae)),noun,noun,Same
sequatur,review,review,Same
eueno,review,review,Same
διόφαντοϲ,review,review,Same
μημ+++++++,review,review,Same
ἄδωνιϲ,review,review,Same
ἡλιόδωροϲ,review,review,Same
ἀρτεμῆϲ,review,review,Same
διογένηϲ,review,review,Same
βαύδανοϲ,review,review,Same
ἀπολλόδωροϲ,review,review,Same
διο,review,review,Same
ἀπολλώνιοϲ,review,review,Same
oceanus,review,review,Same
virum,noun,noun,Same
bonum,adjective,adjective,Same
oro,verb,verb,Same
faciatis,verb,verb,Same
((:aedificium)),review,review,Same
((:anser,review,review,Same
spectans,participle,participle,Same
ad,preposition,preposition,Same
sinistram)),noun,noun,Same
mulviu,review,review,Same
mulvi,review,review,Same
protectus,review,review,Same
((:caput,review,review,Same
gladiatoris,review,review,Same
galeatum)),review,review,Same
vesuvius,review,review,Same
curae,noun,noun,Same
presserit,verb,verb,Same
artus,noun,noun,Same
has,pronoun,pronoun,Same
mancinas,review,review,Same
stagna,noun,noun,Same
refusa,review,review,Same
dabo,verb,verb,Same
((:gladiator,review,review,Same
cum,conjunction,conjunction,Same
palma)),review,review,Same
li++,review,review,Same
procu,review,review,Same
panem,noun,noun,Same
〚ii,review,review,Same
〛,review,review,Same
cauliculum,review,review,Same
sinapi,review,review,Same
sale,review,review,Same
cunei,review,review,Same
rusatia,review,review,Same
((:figura,review,review,Same
bucinae)),review,review,Same
((:securis)),review,review,Same
αδ++ις,review,review,Same
ολοπληθος,review,review,Same
alienas,adjective,adjective,Same
nolite,verb,verb,Same
tangere,verb,verb,Same
pueri,noun,noun,Same
δῆλος,adjective,adjective,Same
&#60;:in,review,review,Same
tabella,review,review,Same
ansata&#62;,review,review,Same
scito,verb,verb,Same
ordinis,noun,noun,Same
viλianio,review,review,Same
atr---,review,review,Same
((:quattuor,review,review,Same
gladiatores)),noun,noun,Same
[+1+]rimus,review,review,Same
ed[-,review,review,Same
-,punctuation,punctuation,Same
-],review,review,Same
quant,review,review,Same
castalo,review,review,Same
magonius,review,review,Same
vectiga,review,review,Same
pittacius,review,review,Same
sequere,verb,verb,Same
volumnius,review,review,Same
ve++ios,conjunction,conjunction,Same
co&#60;:vacat&#62;,review,review,Same
tiburtius,review,review,Same
actius,review,review,Same
((:circulus,review,review,Same
circulos,noun,noun,Same
et,conjunction,conjunction,Same
flores,review,review,Same
continens)),review,review,Same
((:series,review,review,Same
quindecim,review,review,Same
linearum)),review,review,Same
αβγδεζηθικλμ,review,review,Same
debes,verb,verb,Same
felicio,review,review,Same
+2+,review,review,Same
((:anser,review,review,Same
stans)),review,review,Same
((:piscis,review,review,Same
ad,preposition,preposition,Same
d)),review,review,Same
((:navis,review,review,Same
cum,conjunction,conjunction,Same
malo,verb,verb,Same
et,conjunction,conjunction,Same
rudibus)),adjective,adjective,Same
((:lineae,review,review,Same
variae,review,review,Same
intersectae)),review,review,Same
tbt,review,review,Same
((:gladiator,review,review,Same
galea,review,review,Same
cristata,review,review,Same
scuto,review,review,Same
sicaque,review,review,Same
armatus)),noun,noun,Same
((:parma,review,review,Same
gladiatoria)),review,review,Same
((:rete?)),review,review,Same
pitamnus,review,review,Same
marc,review,review,Same
sexvir,review,review,Same
quos,pronoun,pronoun,Same
pompeiis,review,review,Same
corydon,review,review,Same
persi,review,review,Same
caii,review,review,Same
asini,review,review,Same
proculi,review,review,Same
((:capra,review,review,Same
ad,preposition,preposition,Same
sin)),conjunction,conjunction,Same
σαβίνιο,review,review,Same
((s,review,review,Same
retrogradum)),review,review,Same
mystagogus,review,review,Same
μυσταγωγός,review,review,Same
docens,review,review,Same
etoen,review,review,Same
lucian+,review,review,Same
nica,review,review,Same
chreste,review,review,Same
ipsime,review,review,Same
μουσαῖος,review,review,Same
ἐνθάδε,adverb,adverb,Same
βινεῖ,review,review,Same
((:shield)),review,review,Same
αβγδεζηθ,review,review,Same
modesto,adjective,adjective,Same
teste,noun,noun,Same
euhodus,review,review,Same
((:galea,review,review,Same
gladiatoria,review,review,Same
cum,conjunction,conjunction,Same
crista)),review,review,Same
[-,review,review,Same
-,punctuation,punctuation,Same
-]nq[-,review,review,Same
-,punctuation,punctuation,Same
-],review,review,Same
((:navis,review,review,Same
velis,noun,noun,Same
maloque,review,review,Same
instructa)),participle,participle,Same
flavia,review,review,Same
((:duae,review,review,Same
carinae,noun,noun,Same
navium)),noun,noun,Same
((:equus,review,review,Same
ad,preposition,preposition,Same
d)),review,review,Same
((:galea,review,review,Same
gladiatoria,review,review,Same
cum,conjunction,conjunction,Same
crista,review,review,Same
ad,preposition,preposition,Same
sin)),conjunction,conjunction,Same
((:stella)),review,review,Same
((:figura?)),review,review,Same
φακι,review,review,Same
κογιτάτουϲ,review,review,Same
((:galea,review,review,Same
gladiatoria,review,review,Same
ad,preposition,preposition,Same
sin)),conjunction,conjunction,Same
((:gladiator)),review,review,Same
((:vir,review,review,Same
petasatus,review,review,Same
et,conjunction,conjunction,Same
alter,adjective,adjective,Same
baculum,review,review,Same
tenens,participle,participle,Same
(=mercurius?),review,review,Same
animal,noun,noun,Same
(taurus?),punctuation,punctuation,Same
eos,pronoun,pronoun,Same
prosequens,review,review,Same
et,conjunction,conjunction,Same
duae,adjective,adjective,Same
figurae,noun,noun,Same
procul)),adverb,adverb,Same
mentula,review,review,Same
((sestertiis)),review,review,Same
((:caput,review,review,Same
hominis,noun,noun,Same
vel,conjunction,adverb,NOT same
galea?)),review,review,Same
((:navis,review,review,Same
cum,conjunction,conjunction,Same
remis,noun,noun,Same
et,conjunction,conjunction,Same
velis,noun,noun,Same
instructa)),participle,participle,Same
((:linea,review,review,Same
curva,review,review,Same
intersecta,review,review,Same
aliis,adjective,adjective,Same
lineis)),review,review,Same
((:gladiator,review,review,Same
quasi,adverb,adverb,Same
procumbens)),review,review,Same
s²+,review,review,Same
gs²m,review,review,Same
anedia,review,review,Same
((:duae,review,review,Same
aves,noun,noun,Same
ad,preposition,preposition,Same
sin)),conjunction,conjunction,Same
soli,adjective,adjective,Same
ultas,review,review,Same
ἀμέριμνος,adjective,adjective,Same
ἐμνήσθη,review,review,Same
ἁρμονίας,review,review,Same
εἰδίας,review,review,Same
επ᾿,review,review,Same
ἀγαθῷ,adjective,adjective,Same
ἡς,review,review,Same
αλε,review,review,Same
καλοῦ,adjective,adjective,Same
ὀνόματος,noun,noun,Same
((:taurus,review,review,Same
capite,noun,noun,Same
cornuto,review,review,Same
ad,preposition,preposition,Same
d,review,review,Same
incedens)),review,review,Same
&#60;:ad,review,review,Same
perpendiculum;,review,review,Same
textus,review,review,Same
non,adverb,adverb,Same
legitur&#62;,verb,verb,Same
ipse,pronoun,pronoun,Same
septentrio,review,review,Same
((:navis,review,review,Same
velis,noun,noun,Same
et,conjunction,conjunction,Same
rudentibus,review,review,Same
et,conjunction,conjunction,Same
gubernaculo,review,review,Same
instructa)),participle,participle,Same
mercurius,noun,noun,Same
anicete,review,review,Same
augu,review,review,Same
((:avis,review,review,Same
in,preposition,preposition,Same
saxo,noun,noun,Same
stans)),review,review,Same
((:avis?,review,review,Same
ad,preposition,preposition,Same
sin)),conjunction,conjunction,Same
((:vir,review,review,Same
magnum,adjective,adjective,Same
phallum,review,review,Same
meientem,review,review,Same
tenens,participle,participle,Same
ad,preposition,preposition,Same
sin,conjunction,conjunction,Same
conversus)),participle,participle,Same
ὀνέϲιμοϲ,review,review,Same
ευνυϲ,review,review,Same
cλινico,review,review,Same
((:avis,review,review,Same
parva,adjective,adjective,Same
ad,preposition,preposition,Same
sin,conjunction,conjunction,Same
folium,noun,noun,Same
carpens)),participle,participle,Same
ἥσυχος,adjective,adjective,Same
&#60;:nomen,review,review,Same
scriptum,participle,participle,Same
ad,preposition,preposition,Same
dexteram,noun,noun,Same
imaginis,review,review,Same
scariphatae&#62;,review,review,Same
lagoenas,review,review,Same
δεργιαχαι,review,review,Same
καντρια,review,review,Same
shb,review,review,Same
w,review,review,Same
hʾys¹,review,review,Same
ny,review,review,Same
nn,review,review,Same
+y,review,review,Same
quartu,review,review,Same
&#60;:ad,review,review,Same
dextram&#62;,review,review,Same
διὸϲ,review,review,Same
παῖϲ,review,review,Same
καλλίνικοϲ,review,review,Same
ἡρακλῆϲ,review,review,Same
&#60;:ad,review,review,Same
sinistram&#62;,noun,noun,Same
κατοικεῖ,review,review,Same
μηδὲν,noun,noun,Same
εἰσίτω,verb,verb,Same
κακόν,adjective,adjective,Same
((:denarius)),review,review,Same
πυγίσε,review,review,Same
ἀναγινό&#60;sup&#62;σ&#60;/sup&#62;κοντα,review,review,Same
((:certamen,review,review,Same
gladiatoreum)),review,review,Same
[---]λχιθαι,review,review,Same
clemen,review,review,Same
[---]bius,review,review,Same
((:phallus,review,review,Same
ad,preposition,preposition,Same
sin,conjunction,conjunction,Same
versus)),noun,noun,Same
aspasia,review,review,Same
abcedfgh[-,review,review,Same
-,punctuation,punctuation,Same
-],review,review,Same
umor[---],noun,noun,Same
caetronius,review,review,Same
asseres,review,review,Same
tiberius,review,review,Same
claudius,review,review,Same
[---]at,review,review,Same
veniat,verb,verb,Same
albinus,review,review,Same
vidimus,verb,verb,Same
sacomata,review,review,Same
castus,review,review,Same
cer[---],review,review,Same
communem,adjective,adjective,Same
praefecto,review,review,Same
quorumc,review,review,Same
primuis,review,review,Same
rufini,review,review,Same
cubiculum,noun,noun,Same
roma[---],noun,noun,Same
numerium,review,review,Same
com,review,review,Same
circius,review,review,Same
&#60;:litteris,review,review,Same
inversis&#62;,review,review,Same
avari,review,review,Same
agite,verb,verb,Same
staphilus,review,review,Same
quieta,adjective,adjective,Same
[---]r,review,review,Same
[---]s,review,review,Same
bellissimum,adjective,adjective,Same
rogo,verb,verb,Same
anatolii,review,review,Same
asbestus,review,review,Same
phrastes,review,review,Same
cdic++,review,review,Same
eulymenus,review,review,Same
íiiíiiiiiiíiiiiiiííí,verb,verb,Same
receptus,participle,participle,Same
lucretio,review,review,Same
[-,review,review,Same
-,punctuation,punctuation,Same
-]o,review,review,Same
[-,review,review,Same
-,punctuation,punctuation,Same
-]foro,review,review,Same
amerimnus,review,review,Same
popidii,review,review,Same
((denarii)),review,review,Same
alleius,review,review,Same
astragalus,review,review,Same
curator,review,review,Same
usque,adverb,adverb,Same
eidus,review,review,Same
agrippa,review,review,Same
tito,review,review,Same
statilio,noun,noun,Same
ce+ria,review,review,Same
iuli,review,review,Same
heleni,review,review,Same
turma,review,review,Same
hilari,review,review,Same
septumiu[---]icio,review,review,Same
fabio,adjective,adjective,Same
((%1000)),review,review,Same
+vllv,review,review,Same
quaestor,noun,noun,Same
d[-,review,review,Same
-,punctuation,punctuation,Same
-],review,review,Same
vectat,review,review,Same
alexander,review,review,Same
restitutus,review,review,Same
((:nomen,review,review,Same
restitvtvs,review,review,Same
in,preposition,preposition,Same
forma,noun,noun,Same
navis,noun,noun,Same
scriptum)),participle,participle,Same
sacculum,review,review,Same
hermes,review,review,Same
lite,review,review,Same
dupundi,review,review,Same
abascantus,review,review,Same
marcellus,review,review,Same
fabiis,review,review,Same
pyramus,review,review,Same
scutularius,review,review,Same
africana,review,review,Same
ianuaria,review,review,Same
proculo,review,review,Same
quintilius,review,review,Same
ccassa,review,review,Same
lucrio,review,review,Same
amasuc+++,review,review,Same
sarnensis,review,review,Same
aedituus,review,review,Same
[-],review,review,Same
augusti,review,review,Same
calchimi,review,review,Same
oc,review,review,Same
eterate,review,review,Same
celesius,review,review,Same
melisse,review,review,Same
iar,review,review,Same
aniciae,review,review,Same
muner,review,review,Same
fusci,review,review,Same
cilix,review,review,Same
hostius,review,review,Same
socio,noun,noun,Same
exempta,review,review,Same
stercora,review,review,Same
deliciae,noun,noun,Same
[---]si,review,review,Same
possem,verb,verb,Same
[---]entur,review,review,Same
aquas,noun,noun,Same
caesareo,adjective,adjective,Same
deius,review,review,Same
caerulus,review,review,Same
abcdefgh++[---],review,review,Same
n+++++++,review,review,Same
fronto,review,review,Same
curiosus,adjective,adjective,Same
((:corona)),review,review,Same
spleia,review,review,Same
tabulas,noun,noun,Same
muscario,review,review,Same
[ss,punctuation,punctuation,Same
cccc,review,review,Same
xxx],numeral,numeral,Same
proculum,review,review,Same
[cr],punctuation,punctuation,Same
cunctorum,review,review,Same
turba,noun,noun,Same
probavit,review,review,Same
ingenuus,adjective,adjective,Same
postulat,review,review,Same
pietas,noun,noun,Same
clleri,review,review,Same
genes[---],review,review,Same
(:cllerigenes?),review,review,Same
sollemnis,review,review,Same
celerina,review,review,Same
spuri,review,review,Same
selinunti,review,review,Same
aegrotes,review,review,Same
mopse,review,review,Same
((:duo,review,review,Same
circuli)),noun,noun,Same
augustis,noun,noun,Same
iuvenis,adjective,noun,NOT same
december,noun,noun,Same
&#60;:litterae,review,review,Same
scriptae,review,review,Same
sunt,verb,verb,Same
retroversae&#62;,review,review,Same
amandus,review,review,Same
mateius,review,review,Same
unus,adjective,adjective,Same
mam,review,review,Same
sutores,review,review,Same
mavir[--]um,review,review,Same
casellius,review,review,Same
anthah[--]m,review,review,Same
[--]m,review,review,Same
quinquagin[ta---],review,review,Same
ionice,review,review,Same
quintum,adjective,adjective,Same
varium,adjective,adjective,Same
procule,review,review,Same
dianensis,review,review,Same
omen,review,review,Same
quinti,review,review,Same
hortensi,review,review,Same
issa,review,review,Same
fabia,review,review,Same
velim,review,review,Same
fieri,verb,verb,Same
hora,noun,noun,Same
ionicus,review,review,Same
vera,adjective,adjective,Same
faustin`u´m,review,review,Same
viginti,numeral,numeral,Same
aurum,noun,noun,Same
tua,adjective,adjective,Same
nocturna,review,review,Same
frangetur,review,review,Same
rixa,review,review,Same
sparsa,review,review,Same
invenies,verb,verb,Same
limina,noun,noun,Same
rosa,noun,noun,Same
erit,verb,verb,Same
excludis,review,review,Same
frigida,adjective,adjective,Same
deserta,participle,participle,Same
nocte,noun,noun,Same
iacebis,review,review,Same
anus,review,review,Same
incalavit,review,review,Same
hospitium,noun,noun,Same
r---,review,review,Same
v[+4+]nis,numeral,numeral,Same
he,review,review,Same
sollemnes,review,review,Same
scordopordonicus,review,review,Same
lucr[---],review,review,Same
aelius,review,review,Same
magnus,adjective,adjective,Same
plotillae,review,review,Same
amv,review,review,Same
((:phallus,review,review,Same
directus,review,review,Same
versus,noun,noun,Same
os,noun,noun,Same
capitis,noun,verb,NOT same
illius)),pronoun,pronoun,Same
euantillus,review,review,Same
habito,review,review,Same
suo,adjective,adjective,Same
victorius,review,review,Same
vasculum,review,review,Same
navaspa,review,review,Same
divitias,noun,noun,Same
scripula,review,review,Same
a---,preposition,exclamation,NOT same
rite,adverb,adverb,Same
cor,noun,noun,Same
is,pronoun,pronoun,Same
aniceti,review,review,Same
capella,review,review,Same
((:palmae,review,review,Same
ramus)),noun,noun,Same
((:palm,review,review,Same
branch)),review,review,Same
pedicare,review,review,Same
volo,verb,verb,Same
deinde,adverb,adverb,Same
redii,review,review,Same
domi,noun,noun,Same
primigenio,review,review,Same
septumius,review,review,Same
d((:navis)),review,review,Same
adauctus,review,review,Same
kalends,review,review,Same
leontine,review,review,Same
mansuetus,adjective,adjective,Same
provocator,review,review,Same
veneri,review,review,Same
palmam,noun,noun,Same
feret,review,review,Same
africanus,review,review,Same
moritur,verb,verb,Same
puer,noun,noun,Same
condiscens,review,review,Same
cui,pronoun,pronoun,Same
dolet,verb,verb,Same
africano,review,review,Same
[---]inibu[s,review,review,Same
---],review,review,Same
algemus,review,review,Same
cv[+]xxx,review,review,Same
valete,review,review,Same
hercolanius,review,review,Same
hetymus,review,review,Same
((r)),review,review,Same
transiit,review,review,Same
caves,review,review,Same
timinia,review,review,Same
iures,review,review,Same
vinif---,review,review,Same
inquid,review,review,Same
hymnus,review,review,Same
vinum,noun,noun,Same
quatusui++i,review,review,Same
nig[---],review,review,Same
capitoni,review,review,Same
nigro,adjective,adjective,Same
maio,review,review,Same
noctibus,noun,noun,Same
pervig[ilans,review,review,Same
totis,adjective,adjective,Same
ego,pronoun,pronoun,Same
propter,preposition,preposition,Same
a]morem,preposition,exclamation,NOT same
detur,verb,verb,Same
divam,review,review,Same
[posse,punctuation,punctuation,Same
videre,verb,verb,Same
meam],adjective,adjective,Same
conglacio,review,review,Same
s[ub,review,review,Same
sideribus,noun,noun,Same
sed,conjunction,conjunction,Same
pectus],noun,noun,Same
aestost,review,review,Same
[---]t,review,review,Same
aulum,review,review,Same
treb[ium,review,review,Same
aedilem],noun,noun,Same
dignum,adjective,adjective,Same
rei,noun,noun,Same
publicae,adjective,adjective,Same
livius,review,review,Same
sec,review,review,Same
undus,review,review,Same
feliculam,review,review,Same
[-]ic,review,review,Same
&#60;:textus,review,review,Same
in,preposition,preposition,Same
quattuor,numeral,numeral,Same
versibus,noun,noun,Same
non,adverb,adverb,Same
legitur&#62;,verb,verb,Same
homulo,review,review,Same
homini,noun,noun,Same
satur,adjective,adjective,Same
comib,review,review,Same
salinensi,review,review,Same
v[---],numeral,numeral,Same
iuliae,review,review,Same
heraclae,review,review,Same
miximus,review,review,Same
lecto,noun,noun,Same
fateor,review,review,Same
peccavimus,review,review,Same
hospes,review,review,Same
dices,verb,verb,Same
quare,adverb,adverb,Same
nulla,adjective,adjective,Same
matella,noun,noun,Same
eutychus,review,review,Same
acceptum,review,review,Same
domino,noun,noun,Same
apriles,review,review,Same
iiixλfelix,review,review,Same
[-,review,review,Same
-,punctuation,punctuation,Same
-,punctuation,punctuation,Same
d]ece[mbr-,review,review,Same
-,punctuation,punctuation,Same
-],review,review,Same
((scripulum)),review,review,Same
syncletus,review,review,Same
schola,review,review,Same
surrentum,review,review,Same
cacavi,review,review,Same
fraudans,review,review,Same
illi,pronoun,pronoun,Same
amant,review,review,Same
gnome,review,review,Same
annis,noun,noun,Same
homo,noun,noun,Same
bellus,adjective,adjective,Same
habitas,verb,verb,Same
armarium,noun,noun,Same
ibi,adverb,adverb,Same
homines,noun,noun,Same
[+1+],review,review,Same
habitamus,review,review,Same
dii,adjective,adjective,Same
faciant,verb,verb,Same
pompeis,review,review,Same
f,review,review,Same
u,review,review,Same
formae,noun,noun,Same
nauplius,review,review,Same
siculus,review,review,Same
hermia,review,review,Same
taurus,noun,noun,Same
syh+cvs,review,review,Same
ro,review,review,Same
aprilis,review,review,Same
vas,noun,noun,Same
phileros[-],noun,noun,Same
magius,review,review,Same
mecum,pronoun,pronoun,Same
nolo,verb,verb,Same
cenam,noun,noun,Same
vendere,verb,verb,Same
chirographum,review,review,Same
eupor,review,review,Same
fulgur,review,review,Same
[conditum,punctuation,punctuation,Same
---],review,review,Same
haec,pronoun,pronoun,Same
fuerat,verb,verb,Same
quaesita,participle,participle,Same
dies,noun,noun,Same
innoxia,review,review,Same
famae,noun,noun,Same
i[-]dicio,verb,verb,Same
sem,review,review,Same
pauca,adjective,adjective,Same
aug[-],review,review,Same
binet,review,review,Same
ac,conjunction,conjunction,Same
miles,noun,noun,Same
legionis,review,review,Same
mulieres,noun,noun,Same
scierunt,review,review,Same
nisi,conjunction,conjunction,Same
paucae,adjective,adjective,Same
ses,review,review,Same
erunt,verb,verb,Same
nonnius,review,review,Same
titinius,review,review,Same
l̅v̅,review,review,Same
nuces,review,review,Same
biberes,review,review,Same
singula,adjective,adjective,Same
ofellas,review,review,Same
thymatula,review,review,Same
ocea,review,review,Same
oceano,review,review,Same
geganius,review,review,Same
aedilis,noun,noun,Same
iuvenalium,review,review,Same
crocale,review,review,Same
barbata,review,review,Same
valeat,verb,verb,Same
novisti,review,review,Same
hominem,noun,noun,Same
scis,verb,verb,Same
commiseresce,review,review,Same
mei,adjective,adjective,Same
da,verb,verb,Same
veniam,verb,verb,Same
flos,review,review,Same
veneris,noun,noun,Same
de,preposition,preposition,Same
((:herma,review,review,Same
viri)),noun,noun,Same
clappo,review,review,Same
fuat,review,review,Same
camella,review,review,Same
ie++,review,review,Same
plani,review,review,Same
sev+,review,review,Same
((:instrumentum,review,review,Same
gladiatorum,review,review,Same
galea)),review,review,Same
s++,review,review,Same
sumit,review,review,Same
((:instrumentum,review,review,Same
gladiatorum,review,review,Same
