EDR#,CIL#,Varone #,Langner #,Regio.Insula.Door ,Text of Inscription ,Caption for graffito,Translation,Commentary ,AGP = Update of CIL?,Contributors,,,,,,,,,,,
EDR128663,8570,,,,"〈:stria 10〉
V

〈:stria 12〉
R 

〈:striae 15-16〉
SSS 

〈:stria 17〉
R",Graffito,(Individual letters),,,,,,,,,"Not. Sc., 64, 1939, p. 253, nr. 67 (M. Della Corte) (1)<br>CIL 04, 08570 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 131 con facsimile del testo per striae 15-16 (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128663 (4)",,,,,
EDR128017,8571,Graffito with text and drawings,,,"〈:columna I〉
D
D

〈:columna II〉
R
Ata(vus?)
B
((:caduceus))
S
S

〈:columna III〉
((:caduceus))
S
CX

〈:columna IV〉
S
S
V̂ôt̂r(oni?)

〈:columna V〉
Aseli=
a=
m (:Asellam)
CXL",Graffito,"(Individual letters, drawings of a caduceus), Votr(onius?), Asella, ""140""",,,,,,,,,"CIL 04, 08571 (1)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 132 con facsimile (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128017 (3)",,,,,
EDR128016,8572,,,,L A R,Graffito,"LAR (or lar, the deity protecting the household)",,,,,,,,,"CIL 04, 08572 (1)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 133 con facsimile (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128016 (3)",,,,,
EDR127847,8573,,,,T̂îb̂er,Graffito ,Tiber?,,,,,,,,,"CIL 04, 08573 (1)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127847",,,,,
EDR167472,8573,Drawing of a bird on a branch,,,"((:avis externa in arboris ramo stans)) 
BO",Drawing of a bird,BO,,,,,,,,,"Not. Sc., 64, 1939, p. 253, nr. 71 (M. Della Corte) (1)<br>CIL 04, 08573 (pars una) (2)<br>M. Langner, Antike Graffitizeichnungen: Motive, Gestaltung, und Bedeutung, Wiesbaden 2001, n. 1760 (Vogel) (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167472 (4)",,,,,
EDR127194,8574,Drawing of a gladiator,,,"X
((:gladiator ad d. armatus))",Drawing of a gladiator,"""10""",,,,,,,,,"Not. Sc., 64, 1939, p. 254 (M. Della Corte) (1)<br>CIL 04, 08574 (nota) (2)<br>M. Langner, Antike Graffitizeichnungen: Motive, Gestaltung Und Bedeutung, Wiesbaden 2001, nr. 872 (Gladiator) (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127194 (4)<br>",,,,,
EDR128737,8575,a,,col. XX,,Graffito naming Macer,"Macer, Gaius Popillius",,,,,,,,,6,,,,,
EDR167626,8575,b,,col. XX,,Graffito,(Incomprehensible series of letters),,,,,,,,,6,,,,,
EDR127193,8576,,,col. XX,,Graffito mentioning a name,The Galerii (or 'of Galerius'),,,,,,,,,7,,,,,
EDR127410,8577,,,col. XX,,Initials,VRB,,,,,,,,,9,,,,,
EDR127188,8578,,,col. XX,,Graffito,(Individual letters),,,,,,,,,"3, 5, 10, 11",,,,,
EDR175186,8579,12,,col. XX,,Roman Numerals,"""10,"" ""100,"" ""1,"" ""10""",,,,,,,,,12,,,,,
EDR127412,8579,13,,col. XX,,Roman Numerals,"""500,"" ""500,"" ""600,"" ""5,"" ""5,"" ""5,"" ""20,"" ?",,,,,,,,,13,,,,,
EDR127416,8579,14,,col. XX,,Roman Numerals,"""500,"" ""500,"" ""20""",,,,,,,,,14,,,,,
EDR127417,8580,a,,col. XX,,Series of Letters,(Series of letters),,,,,,,,,15,,,,,
EDR127420,8580,b,,col. XX,,Graffito,"Ally, (...other letters here...)",,,,,,,,,15,,,,,
EDR127422,8580,c,,col. XX,,Graffito,(Repetition of letters in a series),,,,,,,,,15,,,,,
EDR127427,8581,,,col. XXI,,Wordplay,(Variations on a word),,,,,,,,,6-8,,,,,
EDR127192,8582,,,col. XXI,,Graffito,(Series of letters),,,,,,,,,7,,,,,
EDR127843,8583,,,col. XXI,,Graffito,(Individual letters),,,,,,,,,11-12,,,,,
EDR127848,8584,a,,col. XXI,,Greetings to Faustius,May things go happily for Faustius,,,,,,,,,14,,,,,
EDR127850,8584,b,,col. XXI,,Graffito naming Faustius?,For Fau(s)tius,,,,,,,,,14,,,,,
EDR127979,8585,,,col. XXI,,Graffito,(Individual letters),,,,,,,,,15,,,,,
EDR127973,8586,a,,col. XXII,,Series of characters,(incomprehensible series of characters),,,,,,,,,6,,,,,
EDR167627,8586,b,,col. XXII,,Graffito,,,,,,,,,,6,,,,,
EDR127975,8586,c,,col. XXII,,Initials,VCQ,,,,,,,,,6,,,,,
EDR127980,8587,,,col. XXII,,Graffito,(Individual letters),,,,,,,,,7,,,,,
EDR127971,8588,,,col. XXII,,Statement,Acanthus (was) here,,,,,,,,,13,,,,,
EDR127981,8589,a,,col. XXII,,Graffito,Popiu(s) (short for Popidius?),,,,,,,,,17,,,,,
EDR127982,8589,b,,col. XXII,,Graffito naming Satius,"Oh, Marcus Bruttidius Statius",,,,,,,,,17,,,,,
EDR127972,8590,,,col. XXIII,,Statement about gladiators,"Sold(?) to the wife of Decimus Lucretius Valens, Onustus, a first-rate gladiator, and Sagatus, a first-rate Thracian-murmillo.",,,,,,,,,5,,,,,
EDR127976,8591,,,col. XXIII,,Graffito,(Incomprehensible series of letters),,,,,,,,,14,,,,,
EDR127977,8592,a,,col. XXIII,,Graffito about expenses,"Cost --- ""8""",,,,,,,,,17,,,,,
EDR128059,8592,b,,col. XXIII,,Graffito,"Voconius, Paca(tus), flag (?)",,,,,,,,,17,,,,,
EDR128057,8593,,,col. XXIV,,Graffito,(Series of letters),,,,,,,,,6,,,,,
EDR127157,8594,,,col. XXIV,,Graffito,Where? (How?),,,,,,,,,"7, 8, 9",,,,,
EDR128058,8595,,,col. XXIV,,Graffito,(Individual letters),,,,,,,,,11,,,,,
EDR128013,8596,a,,col. XXIV,,Graffito naming Urbanus,Urbanus,,,,,,,,,15,,,,,
EDR128062,8596,b,,col. XXIV,,Graffito mentioning a date,Urbanus played (performed?) here six days before the Ides of December,,,,,,,,,15,,,,,
EDR127158,8597,,,col. XXVI,,Roman Numerals,"""8,"" ""8""",,,,,,,,,8,,,,,
EDR127298,8598,,,,"A(uli) Pos=
stu=
mi (:Postumi)
Qui=
cti",Graffito naming Postumius,Of Aulus Postumius Qui(n)ctus,,,,,,,,,"Not. Sc., 64, 1939, p. 258, nr. 108 (M. Della Corte) (1)<br>CIL 04, 08598 (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127298 (3)",,,,,
EDR128014,8599,,,,Ur(banus?),Beginning of a name,Ur(banus),,,,,,,,,"Not. Sc., 64, 1939, p. 258, nr. 109 (M. Della Corte) (1)<br>CIL 04, 08599 (2)<br>A. Varone, Titulorum graphio exaratorum Pompeianorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p. 135 con foto (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128014 (4)",,,,,
EDR127299,8600,,,,Icare ṿ(ale),Greetings to Icarus,"Bye, Icarus",,,,,,,,,"Not. Sc., 64, 1939, p. 258, nr. 110 (M. Della Corte) (1)<br>CIL 04, 08600 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 136 con foto (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127299 (4)",,,,,
EDR128060,8601,,,,ICYLI (actually - Scyll(a)?),Graffito,(Series of letters),,,,,,,,,"CIL 04, 08601 (2) Not.sc.,64,1939,p.258,nr.11 (m. Della Corte) (1)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 136 con foto (3) AGP (4)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128060 (3)",,,,,
EDR128061,8602,,,,"Anchario
lina",Graffito naming Ancharius,Threads for Ancharius (?),,,,,,,,,"Not. Sc., 1939, p. 259, nr. 112 (Della Corte) (1)<br>CIL 04, 08602 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 136 con foto (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128061 (4)",,,,,
EDR127160,8603,,,,((centuria)) Montanî,Graffito mentioning a centurion?,The century (unit) of Montanus,,,,,,,,,"Not.Sc., 64, 1939, p. 259, nr. 113 (M. Della Corte) (1)<br>CIL 04, 08603 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 137 con foto (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127160 (4)",,,,,
EDR127409,8604,,,,Q R,Graffito  ,(Individual letters),,,,,,,,,"Not. Sc., 1939, p. 259 nr. 114 (Della Corte) (1)<br>CIL 04, 08604 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 137 con foto (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127409 (4)",,,,,
EDR127411,8605,,,,"Anus
vita(e) m=
eminit
scio
Aquiti
mortis 
t[a]e=
duisti",Statement about life and death,An old woman remembers life. I know: you were bothered by the death of Aquitius (?).,,,,,,,,,"Not. Sc., 1939, p. 259, nr. 115 (Della Corte) (1)<br>CIL 04, 08605 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 137 con foto (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127411 (4)",,,,,
EDR127413,8606,,,,"VII
N",Graffito,(Incomprehensible series of letters),,,,,,,,,"Not. Sc., 1939, p. 259, nr. 116(Della Corte) (1)<br>CIL 04, 08606 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 138 con foto (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127413 (4)",,,,,
EDR127418,8607,,,,"〈:stria 10〉
QV   

〈:striae 12-13〉
QVAD
",Graffito,Wh? Whaat?,,,,,,,,,"Not. Sc., 1939, p. 259, nr. 117 (Della Corte) (1)<br>CIL 04, 08607 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 138 con foto (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127418 (4)",,,,,
EDR127423,8608,,,,Chole (:Chloe) Clemen,Graffito naming Chloe,"Chloe, Clemen(s?)",,,,,,,,,"Not. Sc., 64, 1939, p. 259, nr. 119 (M. Della Corte) (1)<br>CIL 04, 08608 con apografo (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 139 con facsimile (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127423 (4)",,,,,
EDR127187,8609,,,,C(aius) Lalius,Graffito naming Lalius,Gaius Lalius,,,,,,,,,"Not. Sc., 64, 1939, p. 259, nr. 120 (M. Della Corte) (1)<br>CIL 04, 08609 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 140 con apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127187 (4)",,,,,
EDR127426,8610,,,,"Matris 
Heleusinae (:Eleusinae)",Graffito,Of the Eleusinian mother,,,,,,,,,"Not. Sc., 64, 1939, p. 260, nr. 121 (M. Della Corte) (1)<br>CIL 04, 08610 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 140 con facsimile (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127426 (4)",,,,,
EDR127185,8611,,,,C(aius) Voconius,Graffito naming Voconius,Gaius Voconius,,,,,,,,,"Not. Sc., 64, 1939, p. 260, nr. 122 (M. Della Corte) (1)<br>CIL 04, 08611 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 140 con foto (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127185 (4)",,,,,
EDR173880,8612,,,,AL,Graffito,,,,,,,,,,"Not. Sc., 64, 1939, p. 260, nr. 123 (M. Della Corte) (1)<br>CIL 04, 08612 (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDREDR173880 (3)",,,,,
EDR127186,8613,,,,"Albanius
Comunis (:Communis)
Aurelius
Ṇoniu",List of names,Albanius Communis Aurelius Nonius,,,,,,,,,"Not. Sc., 64, 1939, p. 260, nr. 124 (M. Della Corte) (1)<br>CIL 04, 08613 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 141 con foto. (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127186 (4)",,,,,
EDR127807,8614,,,,((centuria)) Valentis,Graffito mentioning a centurion?,The century (unit) of Valens,,,,,,,,,"Not. Sc., 64, 1939, p. 260, nr. 125 (M. Della Corte) (1)<br>CIL 04, 08614 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 141 con foto (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127807 (4)",,,,,
EDR127809,8615,,,,"Primu (:Primus) 
AV (:ave) vale",Greetings to Primus?,"Hi, bye, Primus",,,,,,,,,"Not. Sc., 64, 1939, p. 260, nr. 126 (M. Della Corte) (1)<br>CIL 04, 08615 (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127809 (3)",,,,,
EDR127812,8616,,,,"L(ucius?) A+II+AIIPIDIIIS 
RA
",Graffito,(Incomprehensible series of letters),,,,,,,,,"Not. Sc., 64, 1939, p. 260, nr. 127 (M. Della Corte) (1)<br>CIL 04, 08616 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 141 con foto, e vol. II, p. 522 (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127812 (4)",,,,,
EDR127815,8617,Drawing,,,"P(ubli) Pro=
pesi
cuntus. 
Verpa
que (:quae) is=
tuc
leges.
〈:vacat〉
Non es
fiden=
ter,
script=
o (:scriptor)
((:phallus))",Insult,"Publius Propesius, jerk. You who read this are a prick.    -- You are not trustworthy, writer. (drawing of a phallus)",,,,,,,,,"Not. Sc., 64, 1939, p. 261, nr. 130 (M. Della Corte) (1)<br>CIL 04, 08617 con apografo (2)<br>Class. Quart., 37, 1943, p. 111 (F.A. Todd) (3)<br>J. N. Adams, The Latin Sexual Vocabulary, London 1990, p. 12, 124, 133 (4)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 142 con foto (5)<br>A. Spal, Poesie-Erotik-Witz: Humorvoll-spöttische Versinschriften... in Pompeji und Umbegung, Berlin 2016, pp. 148 n. 733, 171 n. 844 (6)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127815 (7)",,,,,
EDR127819,8619,,,,"N̂T
MA",Graffito,(Individual letters),,,,,,,,,"Not. Sc., 64, 1939, p. 262, nr. 133 (M. Della Corte) (1)<br>CIL 04, 08619 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 143 (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127819 (4)",,,,,
EDR127821,8620,,,,Eucapa puer · va(le),Greetings,"Farewell, young (lit. boy) Eucapa",,,,,,,,,"Not. Sc., 64, 1939, p. 262, nr. 135  (M. Della Corte) (1)<br>CIL 04, 08620 (2)<br>Neurophilologische Mitteilungen, 66, 1965, p. 446 (I. Kajanto) (3)<br>A. Varone, Erotica Pompeiana: iscrizioni d'amore sui muri di Pompei, Rome 1994, p. 123 (4)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p.143 con foto et apografi (5)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127821 (6)",,,,,
EDR127822,8621,,,,M(anio) Aemilio,Graffito naming Aemilius,To Manius Aemilius,,,,,,,,,"Not. Sc., 64, 1939, p. 262, nr. 136  (M. Della Corte) (1)<br>CIL 04, 08621 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 143 con foto (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127822 (4)",,,,,
EDR073638,8623,,,,"〈:pars I〉
S
〈:vacat〉
Δ

〈:pars II〉
rotas
opera 
tenet
arepo
sator

〈:pars III〉
A N O",Wordplay: Magic square,"(Five words that can be read horizontally or vertically, backward and forward)",,,,,,,,,"Atti Pont. Ac. Rom. Arch., 12, 1936, p. 179-84 (A. Degrassi) - AE 1937 (1)<br>AE 1937, p. 11 s. n. 11 (2)<br>Rend. Ac. Arch. Nap., 17, 1937, p. 79-99 (M. Della Corte) - AE 1948 (3)<br>Rend. Ac. Arch. Nap., 19, 1938-1939, p. 3-32 (M. Della Corte) - AE 1948 (4)<br>Not. Sc., 64, 1939, p. 263-64, nr. 138-140 con foto (M. Della Corte) (5)<br>Mitt. Deutsch. Arch. Inst. (Roemisch.), 57, 1942, p. 250 (T. Valentiner) - AE 1945 (6)<br>Act. Ac. Ab., 15, 1945, p. 1-17 (J. Sundwall) - AE 1946 (7)<br>AE 1945, 0117 (8)<br>AE 1946, 0276 (9)<br>AE 1948, 0156 (10)<br>Mus. Helv., 5, 1948-1949, p. 16-59 (J. Carcopino) - AE 1949 (11)<br>AE 1949, 0112 (12)<br>CIL 04, 08623 con apografo et commentario (13)<br>Arch. Class., 17, 1965, p. 261-64 (M. Guarducci) (14)<br>Arch. Class., 19, 1967, p. 144 sgg. (M. Guarducci) (15)<br>Class. Rev., 21, 1971, p. 6-8 (G. Griffiths) (16)<br>ANRW 16.2, 1978, p. 1736-73 (M. Guarducci) (17)<br>A. Varone, Presenze Guidaiche e Cristiane a Pompei, Napoli 1979, p. 53-71 (18)<br>HD023014 (19)<br>Cryptologia, 27, 2003, p. 233-87 (R. M. Sheldon) (20)<br>The Muse at Play. Riddles and Wordplay in Greek and Latin Poetry, München 2012, p 65-80 (R. Benefiel) (21)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 144 con foto (22)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR073638 (23)",,,,,
EDR127155,8628,,,,"Âûctilius
Atịḷọ (:Atilio) ṣạ(lutem).
Casellio
infelicia",Greetings,Auctilius says hi to Atil(l)ius. To Casellius - bad luck/unhappy things.,,,,,,,,,"Not. Sc., 64, 1939, p. 268, nr. 155 (M. Della Corte) (1)<br>CIL 04, 08628 con apografo (2)<br>A. Varone, Titulorum graphio exaratorum Pompeianorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p. 147 con apografi (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127155 (4)	<br>",,,,,
EDR127151,8629,,,,MO,Graffito  ,MO,,,,,,,,,"Not. Sc., 64, 1939, p. 268, nr. 156 (M. Della Corte) (1)<br>CIL 04, 08629 (2) <br>A. Varone, Titulorum graphio exaratorum Pompeianorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p. 148 con apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127151 (4)",,,,,
EDR127149,8631,,,,Summachus (:Symmachus),Graffito naming Symmachus,Symmachus,,,,,,,,,"Not. Sc., 64, 1939, p. 269, nr. 159 (M. Della Corte) (1)<br>CIL 04, 08631 (2) <br>A. Varone, Titulorum graphio exaratorum Pompeianorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p. 148 con foto (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127149 (4)",,,,,
EDR127790,8633,,,,"Nauplius
Clappo salu(tem)",Greetings,Nauplius sends greetings to Clappus.,,,,,,,,,"Not. Sc., 64, 1939, p. 269, nr. 163 (M. Della Corte) (1)<br>CIL 04, 08633 con apografo (2)<br>A. Varone, Titulorum graphio exaratorum Pompeianorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p. 149 con apographi (3).<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127790 (4)",,,,,
EDR128114,8634,,,,"〈:stria 14〉
Ocea

〈:stria 16〉
Ocea[n]o",Graffito naming Oceanus,"Ocea(nus), to Oceanus",,,,,,,,,"Not. Sc., 64, 1939, p. 269, nr. 164-65 (M. Della Corte) (1)<br>CIL 04, 08634 (2)<br>A. Varone, Titulorum graphio exaratorum Pompeianorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p. 150, con facsimile et immagine (3)<br>Scribbling Through History: Graffiti, People, and Places from Antiquity to Modernity, London 2018 p. 101-16 (R. Benefiel) (4)<br>Am. Journ. Arch., 122, 2018, p. 231-36 (R. Benefiel e H. Sypniewski) (5)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128114 (6)",,,,,
EDR127368,8635,,,,"((:corona)) ((:palma))
Chloe va(le)",Greetings to Chloe,"Bye, Chloe!",,,,,,,,,"Not. Sc., 64, 1939, p. 270, nr. 166 (M. Della Corte) (1)<br>CIL 04, 08635 (2)<br>Am. Journ. Philol., 108, 1987, p. 100-101 (J. Franklin) (3)<br>Savunen, L. Women in the Urban Texture of Pompeii, Helsinki 1997, p. 104 (4)<br>Women Writing Graffiti: from Roman antiquity to early modern Europe, London 2002, p. 74 (E. Woeckner) (5)<br>Riv. Stud. Pomp., 16, 2005, p. 101 (A. Varone) (6)<br>A. Varone, Titulorum graphio exaratorum Pompeianorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p. 150, con apografi e foto (7)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127368 (8)",,,,,
EDR128097,8637,,,,Militibus ub(ique salutem?),Graffito mentioning soldiers,(Greetings?) to soldiers everywhere,,,,,,,,,"Not. Sc., 64, 1939, p. 270, nr. 170 (M. Della Corte) (1)<br>CIL 04, 08637 (2)<br>A. Varone, Titulorum graphio exaratorum Pompeianorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p. 151 con apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128097 (4)",,,,,
EDR128098,8638,,,,"〈:vacat〉Ṃoḍ(estus)
Modestus
Modestus
Musae
suae",Greetings from Modestus?,"Modestus, Modestus, Modestus, to his Muse",,,,,,,,,"Not. Sc., 64, 1939, p. 270, nr. 171-172 (M. Della Corte) (1)<br>CIL 04, 08638 (2)<br>A. Varone, Titulorum graphio exaratorum Pompeianorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p.151, con apografi (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128098 (4)",,,,,
EDR127833,8639,,,,Nauplius,Graffito naming Nauplius,Nauplius,,,,,,,,,"Not. Sc., 64, 1939, p. 271, nr. 174 (M. Della Corte) (1)<br>CIL 04, 08639 (2) <br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 152 con foto (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127833 (4)",,,,,
EDR127835,8640,,,,"〈:ad perpendiculum〉
F̣ḷoṛụ(s)",Graffito,Florus (?),,,,,,,,,"Not. Sc., 64, 1939, p. 271, nr. 175 (M. Della Corte) (1)<br>CIL 04, 08640 (2) <br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 152 con foto (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127835 (4)",,,,,
EDR171304,8640,,,,"〈:stria 15〉
X
X
X

〈:stria 16〉
X",Roman numerals,"""10, 10, 10,"" ""10""",,,,,,,,,"Not. Sc., 64, 1939, p. 271 (M. Della Corte) (1)<br>CIL 04, 08640 (nota) (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR171304 (3)",,,,,
EDR127838,8641,,,,q̣uọṣ,Graffiti,Whom,,,,,,,,,"Not. Sc., 64, 1939, p. 271, nr. 176 (M. Della Corte) (1)<br>CIL 04, 08641 con apografo (2) <br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127838 (3)",,,,,
EDR127845,8642,,,,"〈:ad perpendiculum〉
PVB",Initials,PVB,,,,,,,,,"Not. Sc., 64, 1939, p. 271, nr. 177 (M. Della Corte) (1)<br>CIL 04, 08642 (2) <br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127845 (3)",,,,,
EDR128063,8643,,,,OBR,Initials?,OBR,,,,,,,,,"Not. Sc., 64, 1939, p. 271, nr. 179 (M. Della Corte) (1)<br>CIL 04, 08643 (2) <br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128063 (3)",,,,,
EDR167630,8644,,,,"Quartio
Stratus
VEN
Qu++nitu 
M(arcus) Liciniu (:Licinius) 
Saturninus",List of names,"Quartio, Stratus, VEN, (...other letters here...), Marcus Linciniu(s), Saturninus",,,,,,,,,"Not. Sc., 64, 1939, p. 271, nr. 180 (M. Della Corte) (1)<br>CIL 04, 08644 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma  2012, vol. I, p. 152, con apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167630 (4)",,,,,
EDR127396,8645,,,,"Mus cave 
malum",Warning,"Mus, beware of evil!",,,,,,,,,"Not. Sc., 64, 1939, p. 271, nr. 182 (M. Della Corte) (1)<br>CIL 04, 08645 (2) <br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 153 con apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127396 (4)",,,,,
EDR128064,8646,,,,L(ucius) Atilius,Graffito naming Atilius,Lucius Atilius,,,,,,,,,"Not. Sc., 64, 1939, p. 272, nr. 183 (M. Della Corte) (1)<br>CIL 04, 08646 (2) <br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 153 con apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128064 (4)",,,,,
EDR128065,8647,,,,Placidus,Graffito naming Placidus,Placidus,,,,,,,,,"Not. Sc., 64, 1939, p. 271, nr. 184 (M. Della Corte) (1)<br>CIL 04, 08647 (2) <br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 153 con apografi (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128065 (4)",,,,,
EDR128066,8648,,,,C+++,Graffito,(Incomprehensible series of characters),,,,,,,,,"Not. Sc., 64, 1939, p. 272, nr. 185 (M. Della Corte) (1)<br>CIL 04, 08648 con apografo (2) <br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128066 (3)",,,,,
