"EDR092812","Textus secundum (1)<br>in minuti caratteri (1)"
"EDR128016","Textus secundum (2)<br>Contulerunt et non invenerunt Sypniewski et Benefiel (AGP) a. 2019. Omne tectorium columnae (et quod in columnis XVI-XXI a. 1939 exstabat) nunc caret.<br>v.1: Lar an potius  L(---) A(---) R(---)? (2)<br>In eadem columna: EDR128017, EDR127847, EDR167471, EDR167472, EDR127194, EDR167431"
"EDR128051","Textus secundum (3). Contulerunt Benefiel, Zimmermann Damer, et Sypniewski (AGP), et primae duae litterae extant a. 2019.<br>Locus inventionis secundum (3); aliter, in striis 14-15 (1)(2)<br>v. 1: COLLA(TIVS) (1). COLA apud apographum videtur, sed COLLA(TIVS) in nota datur (2)<br>In eadem columna EDR128046 (COLLATIVS)"
"EDR128060","Textus et mensurae secundum (4). Contulerunt Zimmermann Damer et Benefiel (AGP) a. 2019.<br>Hic titulus solus in hac columna extat. (4)<br>v. 1: CYLO pro GYLO (1), CYLI est [G]ylo vel cylo(n), cyli(smate), cyli(ce) (2), CYLI (3), ICYLI vel ICYLE (4)<br>Locus inventionis, in striis 7-8 (4), aliter, stria 8 (2). Titulus trans duas strias et unam fasciolam scriptus est. (4)"
"EDR128543","Textus secundum (1)"
"EDR128544","Textus secundum (1) "
"EDR128550","Textus secundum (1)"
"EDR128663","Textus secundum (1), periit (3)(4).  Contulerunt et non invenerunt Sypniewski et Benefiel (AGP) a. 2019, quod lapsu tectorii titulus periit. <br>Litterae singulares, altitudinum variarum (2) <br>Permulti tituli, quorum multi imagines sunt, in hac columna inveniuntur: EDR167447, EDR167574, EDR128290 et EDR167446 (stria 4); EDR127405, EDR167451, EDR167453 (stria 5); EDR168101, EDR167581, et EDR127191 (stria 7); EDR127829, EDR127830, EDR127831, EDR128660 (stria 8); EDR128661 et EDR128733 (stria 9); EDR127828 et EDR128734 (stria 13); EDR128662 (stria 14); EDR127081 (stria 15); EDR128738 et EDR167583 (stria 16)."
"EDR128117","Textus secundum (2); mensurae ex apograpo apud (2). Periit (3). Contulerunt Sypniewski et Benefiel (AGP) ad apographum apud (3). <br>v. 1: O HLO = CHLO(E)? Prima littera O vel C cum linea extranea. <br>vv. 1-2: CHLOE / VA (1) sed lectio dubia est.<br><br>Nomen Chloe sexies in campo ad amphitheatrum invenitur: col. XXXI (EDR127423), col. LXI (EDR127817), col. LXII in tribus striis contiguis (4-6) et in eadem altitudine (EDR127428, EDR128116, EDR128716), col. LXIII (EDR127368).  <br>Chloe erat actor (3),(5) aut meretrix (4),(6). <br>Chloe cum Actio Aniceto (alibi dominus scaenicorum appellatur) in Regio VII.6.35 (CIL 04, 01646, et add. p. 210) nominatur (3). <br><br>In eadem stria EDR129116, EDR127145, EDR127242 (alterae salutationes Chloe, manibus variis)<br>In eadem columna EDR127428 (stria 4); EDR128118, EDR127155 (stria 6), EDR127151 (s<br>"
"EDR127405","Textus secundum (2), mensurae ex apographo apud (2).  Contulerunt et non invenerunt Sypniewski et Benefiel (AGP) a. 2019; lapsu tectorii periit. <br>vv. 1-4: II scriptum pro littera E in multis locis; E scriptum in primis syllabis trium verborum <br>v. 3: abeat pro HABEAT scriptum<br>Titulus in litteris cursivis scriptus est.<br><br>Supra EDR167451 et EDR167453 <br>Permulti tituli, quorum multi imagines sunt, in hac columna inveniuntur: EDR167447, EDR167574, EDR128290 et EDR167446 (stria 4); EDR168101, EDR167581, et EDR127191 (stria 7); EDR127829, EDR127830, EDR127831, EDR128660 (stria 8); EDR128661 et EDR128733 (stria 9); EDR127828 et EDR128734 (stria 13); EDR128662 (stria 14); EDR127081 (stria 15); EDR128738 et EDR167583 (stria 16); EDR128663 (stria 10, 12, 15-16, 17)"
"EDR127831","Textus et mensurae secundum (2). Periit (3). Contulerunt et non invenerunt Sypniewski et Benefiel (AGP) a. 2019; lapsu tectorii periit.<br>v. 1: VR(sus) (1)(2).<br>In stria priore [7], VRS(VS?) invenitur (EDR127830).  Litterae eaedem aut initio eiusdem nominis? (3)<br>Infra EDR127829, et supra EDR127830 et EDR128660 <br>Permulti tituli, quorum multi imagines sunt, in hac columna inveniuntur: EDR167447, EDR167574, EDR128290 et EDR167446 (stria 4); EDR127405, EDR167451, EDR167453 (stria 5); EDR168101, EDR167581, et EDR127191 (stria 7); EDR128661 et EDR128733 (stria 9); EDR127828 et EDR128734 (stria 13); EDR128662 (stria 14); EDR127081 (stria 15); EDR128738 et EDR167583 (stria 16); EDR128663 (stria 10, 12, 15-16, 17)"
"EDR128290","Textus secundum (4), mensurae ex apographo apud (2).  Contulerunt et non invenerunt Sypniewski et Benefiel (AGP) a. 2019; lapsu tectorii periit (4).<br>Multae lineae sine ordine aut sensu. <br>v. 1: SOT(ER, ovvero - ERIS) (1), SOT(ER) vel SOT(ER)/ICV(S)? (2)<br>Infra EDR167447 et EDR167574, supra EDR167446 <br>Permulti tituli, quorum multi imagines sunt, in hac columna inveniuntur: EDR127405, EDR167451, EDR167453 (stria 5); EDR168101, EDR167581, et EDR127191 (stria 7); EDR127829, EDR127830, EDR127831, EDR128660 (stria 8); EDR128661 et EDR128733 (stria 9); EDR127828 et EDR128734 (stria 13); EDR128662 (stria 14); EDR127081 (stria 15); EDR128738 et EDR167583 (stria 16); EDR128663 (stria 10, 12, 15-16, 17)"
"EDR128661","Textus et mensurae secundum (2). Periit (4). Contulerunt et non invenerunt Sypniewski et Benefiel (AGP) a. 2019; lapsu tectorii periit.<br>vv. 1-3: Atilius (accepit) a(ssem) I (2); Atilius (accepit/debet/solvit?) a(ssem) I (4)<br>vv. 1-3: Una et eadem manu (2).  <br>Supra EDR128733 (alter index nominum cum pretibus) <br>Permulti tituli, quorum multi imagines sunt, in hac columna inveniuntur: EDR167447, EDR167574, EDR128290 et EDR167446 (stria 4); EDR127405, EDR167451, EDR167453 (stria 5); EDR168101, EDR167581, et EDR127191 (stria 7); EDR127829, EDR127830, EDR127831, EDR128660 (stria 8); EDR127828 et EDR128734 (stria 13); EDR128662 (stria 14); EDR127081 (stria 15); EDR128738 et EDR167583 (stria 16); EDR128663 (stria 10, 12, 15-16, 17)"
"EDR128733","Textus secundum (4), mensurae ex apographo apud (2). Periit (4). Contulerunt et non invenerunt Sypniewski et Benefiel (AGP) a. 2019; lapsu tectorii periit.<br>vv. 1-6: (accepit) subaudiendeum esse videtur (2); Nomen (accepit/debet/solvit?) a(ssem) I (4)<br>v. 7: ACANTHV[S] S(EMISSVM) vel ACANTHVS (SCRIPSIT?) (2)<br>Infra EDR128661 (alter index nominum cum pretibus) et eiusdem scriptoris manu (2)<br>Permulti tituli, quorum multi imagines sunt, in hac columna inveniuntur: EDR167447, EDR167574, EDR128290 et EDR167446 (stria 4); EDR127405, EDR167451, EDR167453 (stria 5); EDR168101, EDR167581, et EDR127191 (stria 7); EDR127829, EDR127830, EDR127831, EDR128660 (stria 8); EDR127828 et EDR128734 (stria 13); EDR128662 (stria 14); EDR127081 (stria 15); EDR128738 et EDR167583 (stria 16); EDR128663 (stria 10, 12, 15-16, 17)"
"EDR128734","Textus secundum (2), mensurae secundum apographum apud (2). Periit (7). Contulerunt et non invenerunt Sypniewski et Benefiel (AGP) a. 2019; lapsu tectorii periit.<br>v. 3: PVRM per PVLM = pulmentarium o, per sincope, pultarium (1) <br>v. 4: textus omittur (1), non expedivi (2)<br>v. 7: OMDV(?) III (1), non expedivi (2)<br>v. 14: L GAVIR(?) III S (1), L. GAVI (denarios?) IIII vel VIII S(emis) (accepi?) (2)<br>v. 16: CARV A 1 (1), CARN(em) A(ssis) I (2); CARV scriptum est, sed fortasse una linea litterae N (pro CARN) caret (7) <br>Infra EDR127828 (Numina Di)<br>Permulti tituli, quorum multi imagines sunt, in hac columna inveniuntur: EDR167447, EDR167574, EDR128290 et EDR167446 (stria 4); EDR127405, EDR167451, EDR167453 (stria 5); EDR168101, EDR167581, et EDR127191 (stria 7); EDR127829, EDR127830, EDR127831, EDR128660 (stria 8); EDR128661 et EDR128733 (stria 9); EDR128662 (stria 14); EDR127081 (stria 15); EDR128738 et EDR167583 (stria 16); EDR128663 (stria 10, 12, 15-16, 17)"
"EDR128737","Textus et mensurae secundum (2), periit (3).<br>Contulerunt et non invenerunt Sypniewski et Benefiel (AGP) a. 2019. Omne tectorium columnae (et quod in columnis XVI-XXI a. 1939 exstabat) nunc caret.<br>Supra EDR167626<br>In eadem columna: EDR167626, EDR127193, EDR167661, EDR127410, EDR127188, EDR175186, EDR127412, EDR127416, EDR127417, EDR127420, EDR127422"
"EDR127193","Textus secundum (2); periit (3)(4).<br>Contulerunt et non invenerunt Sypniewski et Benefiel (AGP) a. 2019. Omne tectorium columnae (et quod in columnis XVI-XXI a. 1939 exstabat) nunc caret.<br><br>v. 1: fortasse nomen gladiatoris EDR167661 qui infra est.<br>In eadem columna EDR128737, EDR167626, EDR167661, EDR127410, EDR127188, EDR175186, EDR127412, EDR127416, EDR127417, EDR127420, EDR127422"
"EDR127297","Textus et mensurae secundum (2).  Contulerunt Sypniewski et Benefiel (AGP) a. 2019.<br>v. 1: &#390;  significat centurionis vel centuria (1), &#390; (=centuria iuvenum) (2).<br>Octo tituli in campo ad amphitheatrum hoc signum (centurio?) mostrant: EDR127297 (col. XIV), EDR127160 (col. XXIX), EDR127807 (col. XXXIV), EDR128067 (col. LXVIII), EDR128082 (col. LXIX), EDR127579 et EDR127578 (col. LXXIII), EDR167976 (col. LXXXV).<br>Nomen CLEMENS in titulis scariphatis Pompeis invenitur ad EDR151733.<br>In eadem columna EDR128293 (stria 6), EDR167625 (stria 6), EDR128769 (stria 7), EDR128770 (stria 7), EDR128772 (stria 11), EDR128773 (stria 12), EDR127403 (striae 1, 2, 8, 12, 14, 20)"
"EDR127407","Textus secundum (3)-(4), aliter (1)-(2), mensurae secundum (4). Contulerunt et Sypniewski et Benefiel (AGP) a. 2019.<br>Locus secundum (3)-(4), aliter [striae 11-12] (2).<br>In strias 10-12 et in fasciola inter strias 11 et 12 scriptus est.<br>v. 1: St&#770;eneli, nome di uno Sthenelus omonimo dell'omerico eroe greco (1), St&#770;eneli pro Stheneli omissa littera h (2), Potius legendum SIN&#770;AEI vel SIA&#770;NEI (3)<br>Hic est solus titulus in columna."
"EDR127421","Textus secundum (2).  Contulerunt et non invenerunt Sypniewski et Benefiel (AGP) a. 2019; lapsu tectorii periit.<br>stria 7: SSS (1)<br>In eadem columna EDR128778 et EDR167445 (stria 10), EDR128779 (stria 16)"
"EDR127816","Textus et mensurae secundum (2).  Contulerunt Sypniewski et Benefiel (AGP) a. 2019; tantum vestigia in tectorio corroso extant.<br>Hic titulus una cum EDR127818 apud (1) editus est.<br>Mysticus fuit musicus qui nominatur cum Aniceto domino scaenicorum (EDR154535) (3)-(4).  Nomen Mysticus fortasse invenitur etiam in titulis CIL 04, 05196 et 05198.  <br><br>Supra EDR127818 (textus non legitur), EDR127817 (CHLOE VA)<br>Permulti tituli in eadem columna inveniuntur: EDR127819 (stria 6); EDR127820 (stria 6-10); EDR127821 (stria 6-7), EDR127822 (stria 7); EDR127823 (stria 10);  EDR127824, EDR073638 (stria 11); EDR167589 (stria 13); EDR127826, EDR127827 (stria 14); EDR127140, EDR127231, EDR127233, EDR127234 (stria 15); EDR167628 (stria 16-17)<br>"
"EDR127817","Textus secundum (2); mensurae secundum (8), aliter (2) qui 47 cm pro 4,7 cm (i.e. decies) et al. dat.  Contulerunt Sypniewski et Benefiel (AGP) a. 2019; tantum vestigia in tectorio corroso extant.<br>Nomen Chloe sexies in campo ad amphitheatrum invenitur: col. XXXI (EDR127423), col. LXI (hic titulus), col. LXII (EDR127428, EDR128116, EDR128118), LXIII (EDR127368).  <br>Chloe erat actor (3),(5) aut meretrix (4),(6). <br>Chloe cum Actio Aniceto (alibi dominus scaenicorum appellatur) in Regio VII.6.35 (CIL 04, 01646, et add. p. 210) nominatur (3). <br> <br>Infra EDR127816, EDR127818 <br>Permulti tituli in eadem columna inveniuntur: EDR127819 (stria 6); EDR127820 (stria 6-10); EDR127821 (stria 6-7), EDR127822 (stria 7); EDR127823 (stria 10);  EDR127824, EDR073638 (stria 11); EDR167589 (stria 13); EDR127826, EDR127827 (stria 14); EDR127140, EDR127231, EDR127233, EDR127234 (stria 15); EDR167628 (stria 16-17)"
"EDR127820","Textus secundum (2), mensurae secundum (4). Contulerunt Sypniewski et Benefiel (AGP) a. 2019.<br>vv. 1-2: Litterae magnae in singulis striis scriptae sunt.<br>v. 1: A (stria 6), RI (stria 7), S (stria 8), T (stria 9), O (stria 10)<br>v. 2: T (stria 6), O (stria 7), S (stria 8), O (stria 9), RI (stria 10)<br>Alter tonsor in campo ad amphitheatrum nominatur, cf. EDR167947 (P. Cornelius Faventinus).<br>Tonsores alibi Pompeiis cf. CIL 04, 00743 (A(ulum) Trebium / aed(ilem) tonsores)<br>Supra EDR127819 (stria 6); EDR127821 (stria 6-7), EDR127822 (stria 7); EDR127823 (stria 10).  <br>Permulti tituli in eadem columna inveniuntur: EDR127816, EDR127817, EDR127818 (stria 5); EDR127824, EDR073638 (stria 11); EDR167589 (stria 13); EDR127826, EDR127827 (stria 14); EDR127140, EDR127231, EDR127233, EDR127234 (stria 15); EDR167628 (stria 16-17)"
"EDR127847","Textus secundum (2), periit (3). Contulerunt et non invenerunt Sypniewski et Benefiel (AGP) a. 2019. Omne tectorium columnae (et quod in columnis XVI-XXI a. 1939 exstabat) nunc caret.<br>v. 3: TIBER(?). Fluminis TIBER(is) an TIBER(ii) nomen hic latet? (2)<br>In eadem columna EDR128017, EDR128016, EDR167471, EDR167472, EDR127194, EDR167431"
"EDR127971","Textus secundum (2); mensurae ex apographo apud (2). Contulerunt R. Benefiel et E. Zimmermann Damer a. 2019 (AGP).<br>Finis tituli (US HIC) nunc caret a. 2019 (3).<br>In eadem columna EDR127973, EDR167627, EDR127975, EDR127980, EDR167476, EDR127981, EDR127982, EDR167586"
"EDR127973","Textus secundum (2); mensurae ex apographo apud (2).<br>Contulerunt E. Zimmermann Damer et R. Benefiel a. 2019 (AGP) et non invenerunt. Tectorio nunc abraso, periit (3).  <br>v. 1: SECCIA pro SICCIA (1), SIICCIA pro SICCIA (2)<br>In eadem columna EDR167627, EDR127975, EDR127980, EDR167476, EDR127971, EDR127981, EDR127982, EDR167586"
"EDR128278","Textus et mensurae secundum (3).  Contulerunt Sypniewski et Benefiel (AGP) a. 2019. <br>v. 1: TIRON(is) voluitne scriptor? (2)<br>Prima littera consuetudinem formam non habet, fortasse signum vel litterae in nexu?<br>Tres litterae +RN clare leguntur, dum I et O minores et levius scriptae sunt et <br>Titulus litteris magnis ad dextram inclinatis scriptus, (hic, deorsum)<br>v. 1: TIRONIS in campo ad amphitheatrum (col. LXXIII) etiam invenitur: EDR127578 (&#390; TIRONIS) <br>Infra EDR128277: T[O]TVS<br>Prope EDR128276 (stria 13); EDR127399 (striae 15-16)<br>In eadem columna EDR127147 (stria 4), EDR128084 (striae 5-6); EDR167646 (stria 11)"
"EDR128286","Textus secundum (2).  Contulerunt Sypniewski et Benefiel (AGP), et vestigia in tectorio corroso adhuc videntur a. 2019.<br>v. 1: Littera F inversa et littera I supra verbo posita (2)<br>v. 1: FORTI(S) (1); FORTIS (2)<br>Titulus scriptus in minimis parvis prope fasciolam ad dexteram. (4)<br>In eadem columna EDR167619 (stria 4), EDR128751 (stria 6, 7)"
"EDR128554","Textus secundum (1)"
"EDR128559","Textus secundum (1), periit (2)<br>v. 3: AERIS A(ssem) alia manu scripta sunt?"
"EDR128560","Textus secundum (1)"
"EDR128581","Textus secundum (1)"
"EDR128641","Textus et mensurae secundum (2). Contulerunt H. Sypniewski et R. Benefiel a. 2019 (AGP) et non invenerunt. Tectorio nunc abraso, periit (4). <br>v. 1: Parva frustula leviter ducta (2)<br>Hoc verbum, ROMA, in viginti titulis Pompeiis, per urbem, invenitur (3).<br>In eadem columna EDR128644, EDR128645 (stria 10); EDR128642 (stria 11); EDR128643 (stria 13)"
"EDR128642","Textus et mensurae secundum (3).  Contulerunt H. Sypniewski et R. Benefiel a. 2019 (AGP). <br>vv. 1-2: L · COM(inius?) (1); T(ITVS) / COM(INIVS?) (2)<br>Prope EDR128644 et EDR128645 (stria 10); EDR128643 (stria 13)<br>In eadem columna EDR128641 (stria 7)"
"EDR128643","Textus et mensurae secundum (2). Contulerunt H. Sypniewski et R. Benefiel a. 2019 (AGP) et non invenerunt. Tectorio nunc abraso, periit (3). <br>v. 1: (N)VCVL(VS) (1), (N)VGVLl(VS?) (2) <br>v. 1: Parva frustula leviter ducta (2)<br>Prope EDR128642 (stria 11)<br>In eadem columna EDR128641 (stria 7); EDR128644 et EDR128645 (stria 10)"
"EDR128644","Textus et mensurae secundum (2). Contulerunt Sypniewski et Benefiel (AGP); vestigia in tectorio corroso adhuc a. 2019 extant. <br>v. 1: Parva frustula leviter ducta (2)<br>v. 1: EROS in campos ad amphitheatrum (col. LXXI) etiam invenitur ad EDR127147<br>Supra EDR128645 (nomen M. CERRIN(I)VSS inter lineas duorum circulorum)<br>Prope EDR128642 (stria 11) <br>In eadem columna EDR128641 (stria 7); EDR128643 (stria 13)"
"EDR128645","Textus secundum (2). Contulerunt Sypniewski et Benefiel (AGP); vestigia in tectorio corroso adhuc a. 2019 extant. <br>Mensurae circulorum: alt. 9,0cm; lat. 9,0cm, secundum (4)<br>Mensurae verborum: alt. Incertus; lat. 5,5cm, secundum (2); litt. alt. 0,8cm (2)(4)<br>Duo circuli, alter in altero (4).  Titulus inter duas lineas circulorum scriptus (4); aliter (1)-(2) qui tantum semicirculos viderunt.  Drei konzentrische Kreise (3), quo litterae inter circulos carent.<br>v. 1: CERRINVSS pro CERRINIVS (1)(2), sed prima littera S vere dextera pars litterae V est.  Tantum litterae IVS videntur a. 2019 (4).<br>Titulus trans striam et duas fasciolas scriptus est.<br>Supra EDR128644 (EROS)<br>Prope EDR128642 (stria 11) <br>In eadem columna EDR128641 (stria 7); EDR128643 (stria 13)"
"EDR128647","Textus secundum (1) "
"EDR128648","Textus secundum (1) "
"EDR128649","Textus secundum (1) "
"EDR128650","Textus secundum (1) "
"EDR128738","Textus secundum (5), periit (3)-(5). Contulerunt et non invenerunt Sypniewski et Benefiel (AGP) a. 2019, quod lapsu tectorii titulus periit. <br>Mensurae supra, tantum pro duobus versibus, secundum (2). <br>Alt. imaginis trophaei: 22 cm (2).<br>v. 1: ATILIVS (1), ATIIIIVS = Atillius (2), apographum apud (4) mostrat textum scriptum ut ATNIT(C?)VS, fortasse ATHIC&#770;TVS? (5)<br>Supra EDR167583 (alphabetum Graecum cum palma)<br>Permulti tituli, quorum multi imagines sunt, in hac columna inveniuntur: EDR167447, EDR167574, EDR128290 et EDR167446 (stria 4); EDR127405, EDR167451, EDR167453 (stria 5); EDR168101, EDR167581, et EDR127191 (stria 7); EDR127829, EDR127830, EDR127831, EDR128660 (stria 8); EDR128661 et EDR128733 (stria 9); EDR127828 et EDR128734 (stria 13); EDR128662 (stria 14); EDR127081 (stria 15);  EDR128663 (stria 10, 12, 15-16, 17)"
"EDR128751","Textus secundum (2), mensurae infra secundum (4).  Contulerunt Sypniewski et Benefiel (AGP) a. 2019.<br>Mensurae secundum (4).<br>striae 6: lat. 3,8<br>striae 7: MV: alt. 1,1; lat. 1,3; litt. alt.: 0,1-1,1<br>X: alt.: 3,3; lat.: 3,4<br>Locus inventionis secundum (4), aliter [stria 7, 8] (1)-(2)<br>In eadem columna EDR167619 (stria 4), EDR128286 (stria 15)"
"EDR128754","Textus secundum (2), mensurae secundum (4). Contulerunt Sypniewski et Benefiel (AGP) a. 2019.<br>Mensurae<br>stria 5: alt.: 1,5; lat. 2,6<br>stria 15: alt.: 4,7; lat. 5,5<br>Hic duo signa in opposita latera columnae (stria 5 et 15) scripta sunt. <br>Hic solus titulus in hac columna est."
"EDR128759","Textus secundum (1)(2). Contulerunt et non invenerunt Sypniewski et Benefiel (AGP) a. 2019. Tectorio nunc abraso, periit (3).<br>vv. 1-5: Sporadiche note numeriche per sè stanti... e di varia dimensione (1)<br>In eadem columna EDR127080 (stria 6), EDR127425 (fasciola inter strias 18 et 19)"
"EDR128760","Textus et mensurae infra secundum (4). Contulerunt Sypniewski et Benefiel (AGP) a. 2019.<br>Mensurae<br>stria 11: alt.: 5,9; lat.: 7.3<br>stria 13: alt.: 7,6; lat.: 6,1<br>stria 14: alt.: 7,4; lat.: 4,4<br>stria 11: * (1), * ( = denarius?) (2), i.e. littera X cum linea verticali, sed vere solum inferior pars incisus est: &#10842; (4). Imago huius tituli apud (3) inversa est.<br>stria 13: Littera V non certa est, vere similis litterae Y cum linea diagonali. (4)<br>stria 14: Leviter incisus est, levius multo duobus litteris in stria 11 et 13.  (4)<br>In eadem columna EDR128761 (stria 14), EDR128762 (stria 14)"
"EDR127420","Textus et mensurae secundum (2), periit (3)<br>Contulerunt et non invenerunt Sypniewski et Benefiel (AGP) a. 2019. Omne tectorium columnae (et quod in columnis XVI-XXI a. 1939 exstabat) nunc caret.<br><br>In eadem stria et eadem manu EDR127417 et EDR127422<br>In eadem columna: EDR128737, EDR167626, EDR127193, EDR167661, EDR127410, EDR127188, EDR175186, EDR127412, EDR127416, EDR127417, EDR127422"
"EDR127422","Textus et mensurae secundum (2), periit (3).<br>Contulerunt et non invenerunt Sypniewski et Benefiel (AGP) a. 2019. Omne tectorium columnae (et quod in columnis XVI-XXI a. 1939 exstabat) nunc caret.<br>v. 1: ROTUND(us) / ROTV(ndus) / RO. . . (2)<br>In eadem stria et eadem manu EDR127417 et EDR127420<br>In eadem columna: EDR128737, EDR167626, EDR127193, EDR167661, EDR127410, EDR127188, EDR175186, EDR127412, EDR127416, EDR127417, EDR127420"
"EDR127844","Textus secundum (1)(2), mensurae secundum (4). Contulerunt Sypniewski et Benefiel (AGP) a. 2019. <br>Locus secundum (3)(4), aliter [in striis 11-13] (1)(2).<br>v. 1: SAVF(eius) (1), Sauf(ei...) (2)<br>Trans tres strias magnis litteris scriptus est.<br>Eaedem litterae, SAVF, in col. CXVI videntur (EDR167505).<br>In eadem columna EDR167410 (stria 10), EDR128756 (stria 12), EDR128758 (stria 17)"
"EDR127976","Textus secundum (2); mensurae secundum apographum apud (2). Contulerunt E. Zimmermann Damer et R. Benefiel a. 2019 (AGP). Tectorio nunc abraso, periit (4).<br>Lectio admodum dubia (2), litteris minutis (2).<br>v. 1: Mucerianus (1); Mulierianus(?) (2)<br>v. 2: va(le) . . . hvs (2)<br>v. 3: Aul{l}u(s)? (2)"
"EDR127981","Textus et mensurae secundum (2); periit (3). Contulerunt et non invenerunt E. Zimmermann Damer et R. Benefiel a. 2019 (AGP).<br>v. 1:POPIU(S) pro POPI(DI)U(S)? (2)<br>Supra EDR127982<br>In eadem columna EDR127973, EDR167627, EDR127975, EDR127980, EDR167476, EDR127971, EDR127982, EDR167586"
"EDR128284","Textus secundum (3); aliter (1)(2). Mensurae secundum (4). Contulerunt Sypniewski et Benefiel (AGP) a. 2019.<br>vv. 1-2: lectio in tribus lineis: PACQVI / A / DE NSIE (1); PACQVI  /A (pro Paquia). Cetera non expedivi (2). <br>vv. 1-2: PROVI/DE M&#803;ILES&#803; secundum Marichal apud (3).<br>vv. 1-2: lectio melior a Varone, a quo lineae alienae ostenduntur, datur (3)<br>v. 2: II pro littera E scriptum<br>In eadem columna EDR128285 et EDR167615 (stria 16), EDR127849 (stria 17)"
"EDR128285","Textus et mensurae secundum (2). Contulerunt Sypniewski et Benefiel (AGP) a. 2019. <br>Prima littera I oblique scripta est.<br>Supra EDR167615 (avis et, infra, alter avis)<br>In eadem columna EDR128284 (stria 13) et EDR127849 (stria 17)"
"EDR128287","Textus et mensurae infra secundum (4). Contulerunt et Sypniewski et Benefiel (AGP) a. 2019.<br>stria 12: littera R inversa super quam alia X scripta est (3)-(4), aliter [tantum R inversa, sine X] (1)-(2).<br>stria 17: una littera S, non ad perpendiculum videtur, valde abrasa in tectorio corroso (4). Aliter, SSSSS (scritte dall'alto in basso) (1); S, quinquies ad perpendiculum scripta est (2). <br>Mensurae <br>stria 7: alt.: 7,2; lat.: 5,5<br>stria 12: X - alt.: 6,1; lat.: 5,4.  R - alt.: 7,1; lat.: 5,3<br>stria 17: alt.: 3,9; lat.: 2,1<br>In eadem columna EDR128291 (stria 10), EDR167618 (stria 11)"
"EDR128291","Textus secundum (3), aliter (1)(2); mensurae secundum (4). Contulerunt et Sypniewski et Benefiel (AGP) a. 2019.<br>v. 1: II pro littera E scriptum<br>v. 1: TRADII (1), TRADE vel TRADO (2), lineae quarum causa Della Corte TRADE vel TRADO legit, sunt certae alienae (3)<br>In eadem columna EDR167618 (stria 11), EDR128287 (striae 7, 12, 17)"
"EDR128292","Textus secundum (2). Contulerunt et Sypniewski et Benefiel (AGP) et tantum vestigia in tectorio corroso adhuc videntur a. 2019.<br>Mensura alt. secundum (4), aliae mensurae secundum (2)<br>v. 1: Apsyrtus pro Absyrtus (1)-(2), sed nomen in titulis Romanis semper ut Apsyrtus scriptus est. (4).  &#7948;&#968;&#965;&#961;&#964;&#959;&#962; est nomen regis Colchidis.<br>Apsyrtus etiam in col. X in campo apud amphitheatrum videtur (EDR167619)<br>vv. 1-3: Apsyrtus / Lac(a)en(a)e / ubiq(ue salutem) (2)<br>v. 2: non commune nomen est; et Lacena et Lacaena in titulis Romanis scripta est; etiam ut Graecum nomen &#923;&#940;&#954;&#945;&#953;&#957;&#945; (sed rarissime) videtur. <br>v. 3: litterae VBIQ omnes in nexu scriptae sunt.<br>In stria 5 et fasciola ad dexteram scriptus est.<br>In eadem columna EDR127404 (stria 9)"
"EDR128293","Textus secundum (1)-(2); mensurae secundum apographum apud (2).  Contulerunt Sypniewski et Benefiel (AGP) sed litteris nunc maximam partem evanidis a. 2019.<br>v. 1: LUX vel LUX(URIUS?) (2)<br>Idem titulus (C · T · Lux: EDR128770) in stria 7 eadem altitudine invenitur.<br>Supra EDR167625 (stria 6); prope EDR128769 et EDR128770 (stria 7)<br>In eadem columna EDR128772 (stria 11), EDR128773 (stria 12), EDR127297 (stria 15), EDR127403 (striae 1, 2, 8, 12, 14, 20)"
"EDR128563","Textus secundum et mensurae (6). Contulerunt Sypniewski et Benefiel (AGP) a. 2019.<br>Locus inventionis in stria 14 secundum (5)-(6), aliter [in stria 15] (1) (2). <br>v. 1: orbiculis additis postea et incisis subtiliter (6)<br>Signum geometricum (3) (6), aliter (1) (2).<br>A Della Corte signum Christianum creditur: una croce dai bracci incurvati a forma di Rho, la quale potrebbe esser ritenuta pure essa come un simbolo cristiano (1). Quattuor brachia crucis in speciam litterae &#961; torta sunt (2), <br>Sed Varone prudentior videtur: lncerto è intanto se di Rho si tratti (il loro andamento è retrogrado) e comunque in ogni caso è arduo pervenire al significato di tale scritta (3). <br>Et, orbiculi postea additi sunt: Orbiculi ad extremum brachiorum alia et tenuiore cuspide tempore sequenti incisi sunt (5).<br> In eadem columna EDR128746 (stria 15), EDR127213 (stria 16), EDR127842 et EDR173899  (stria 17)"
"EDR128746","Textus secundum (1), mensurae secundum (4), locus secundum (3)-(4). Contulerunt Sypniewski et Benefiel (AGP) a. 2019.<br>Circuli ratione scriptus (2).<br>v. 1: Legendum esse putaverim AMENTIVS (2), Titulus obtectus est inscriptione temporis nostri, quae eum it corrupit, ut nullo modo legi possit (3)<br>Locus inventionis in stria 15 secundum (3)-(4), aliter [in stria] 16 (1)-(2).<br>In eadem columna EDR128563 (stria 14), EDR127213 (stria 16), EDR127842 et EDR173899 (stria 17) "
